!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               19               12               60             6.07            15.57
               19                1               60             5.00             9.49
               19                2               60             3.19             4.49
               19                3               60             1.30             1.30
               20                4               60             0.00             1.81
               20                5               60             0.00             1.81
               20                6               60             0.55             1.81
               20                7               60             0.00             1.26
               20                8               60             0.00             1.26
               20                9               60             0.00             1.26
               20               10               60             0.00             1.26
               20               11               60             1.26             1.26
               20               12               60             0.00             0.00
               20                1               60             0.00             0.00
               20                2               60             0.00             0.00
               20                3               60             0.00             0.00
               21                4               60             0.00            24.13
               21                5               60             0.00            24.13
               21                6               60             0.00            24.13
               21                7               60            19.73            24.13
               21                8               60             1.75             4.41
               21                9               60             0.38             2.65
               21               10               60             0.38             2.28
               21               11               60             0.38             1.90
               21               12               60             0.38             1.52
               21                1               60             0.38             1.14
               21                2               60             0.38             0.76
               21                3               60             0.38             0.38
               22                4               60             4.46             4.46
               22                5               60             0.00             0.00
               22                6               60             0.00             0.00
               22                7               60             0.00             0.00
               22                8               60             0.00             0.00
               22                9               60             0.00             0.00
               22               10               60             0.00             0.00
               22               11               60             0.00             0.00
               22               12               60             0.00             0.00
               22                1               60             0.00             0.00
               22                2               60             0.00             0.00
               22                3               60             0.00             0.00
               23                4               60             0.00           874.85
               23                5               60             0.00           874.85
               23                6               60             0.00           874.85
               23                7               60            46.74           874.85
               23                8               60            73.63           828.11
               23                9               60           116.06           754.48
               23               10               60           137.25           638.42
               23               11               60           121.29           501.18
               23               12               60           111.53           379.89
               23                1               60           102.92           268.36
               23                2               60            92.39           165.44
               23                3               60            73.05            73.05
               24                4               60             0.00           724.84
               24                5               60            40.84           724.84
               24                6               60            49.79           684.00
               24                7               60            86.44           634.21
               24                8               60            64.39           547.77
               24                9               60            62.87           483.38
               24               10               60            63.42           420.51
               24               11               60            61.09           357.09
               24               12               60            63.81           296.00
               24                1               60            91.31           232.19
               24                2               60            77.80           140.88
               24                3               60            63.08            63.08
               25                4               60             0.00           104.10
               25                5               60             0.00           104.10
               25                6               60             0.00           104.10
               25                7               60             7.64           104.10
               25                8               60             9.81            96.46
               25                9               60            12.68            86.65
               25               10               60            15.98            73.97
               25               11               60            16.00            57.99
               25               12               60            14.07            41.99
               25                1               60            11.42            27.92
               25                2               60             9.30            16.50
               25                3               60             7.20             7.20
               26                4               60             0.00            69.90
               26                5               60             0.00            69.90
               26                6               60            69.90            69.90
